0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.031622776601683791},0.25,0.6458333333
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.25,0.6804123711
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1.0},0.25,0.6732673267
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.25,0.6868686869
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.25,0.6868686869
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.25,0.6458333333
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.25,0.6804123711
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1.0},0.25,0.6732673267
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.25,0.6868686869
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.25,0.6458333333
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.25,0.6804123711
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1.0},0.25,0.6732673267
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.25,0.6868686869
0.4 0.6,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1.0},0.25,0.641509434
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6464646465
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.6732673267
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.6732673267
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.6732673267
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.6732673267
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.64
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.66
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.66
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.66
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.66
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6464646465
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6464646465
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6464646465
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6464646465
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.68
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.68
0.5 0.5,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.4130434783
0.5 0.5,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.6355140187
0.5 0.5,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.6355140187
0.5 0.5,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.6355140187
0.5 0.5,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.6355140187
0.5 0.5,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.6296296296
0.5 0.5,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.6296296296
0.5 0.5,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.623853211
0.5 0.5,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.6296296296
0.5 0.5,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.6296296296
0.5 0.5,5,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.2352941176,0.6355140187
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.6530612245
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1.0},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.66
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.2352941176,0.6464646465
