0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3333333333,0.4
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3333333333,0.4
0.5 0.5,5,{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3333333333,0.4
0.6 0.4,5,{'penalty': 'l1', 'C': 1.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.001, 'random_state': 42},0.3333333333,0.432748538
0.6 0.4,5,{'penalty': 'l1', 'C': 1.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.031622776601683791, 'random_state': 42},0.3333333333,0.4378698225
0.6 0.4,5,{'penalty': 'l2', 'C': 1.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.001, 'random_state': 42},0.3333333333,0.4457831325
0.6 0.4,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.3333333333,0.4596273292
0.6 0.4,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.3333333333,0.4625
0.6 0.4,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.3333333333,0.4596273292
0.4 0.6,5,{'penalty': 'l1', 'C': 1.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3243243243,0.3737373737
0.4 0.6,5,{'penalty': 'l2', 'C': 1.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3243243243,0.3775510204
0.4 0.6,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3243243243,0.3794871795
0.4 0.6,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3243243243,0.3794871795
0.4 0.6,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3243243243,0.3794871795
0.4 0.6,5,{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.001, 'random_state': 42},0.3243243243,0.3794871795
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 0.001, 'random_state': 42},0.3225806452,0.4134078212
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 0.001, 'random_state': 42},0.3225806452,0.4134078212
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.001, 'random_state': 42},0.3225806452,0.4134078212
0.5 0.5,5,{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.001, 'random_state': 42},0.3225806452,0.4134078212
0.6 0.4,5,{'penalty': 'l1', 'C': 1.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.3225806452,0.4484848485
0.6 0.4,5,{'penalty': 'l1', 'C': 1.0, 'random_state': 42},{'penalty': 'l1', 'C': 1.0, 'random_state': 42},0.3225806452,0.4539877301
0.6 0.4,5,{'penalty': 'l1', 'C': 1.0, 'random_state': 42},{'penalty': 'l2', 'C': 1.0, 'random_state': 42},0.3225806452,0.4512195122
0.6 0.4,5,{'penalty': 'l2', 'C': 1.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.3225806452,0.4596273292
