0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 31.622776601683793},0.3333333333,0.8314606742
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.8314606742
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3333333333,0.8314606742
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.8314606742
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.3333333333,0.8043478261
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3333333333,0.8314606742
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.8314606742
0.4 0.6,5,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.3333333333,0.7450980392
0.4 0.6,5,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.3333333333,0.7450980392
0.4 0.6,5,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.3333333333,0.7450980392
0.4 0.6,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.3333333333,0.7450980392
0.5 0.5,5,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.3225806452,0.4512195122
0.5 0.5,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.031622776601683791},0.3157894737,0.5563909774
0.6 0.4,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.031622776601683791},0.3157894737,0.5138888889
0.5 0.5,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.7789473684
0.5 0.5,4,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.7272727273
0.5 0.5,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.7741935484
0.5 0.5,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.7741935484
0.5 0.5,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.7741935484
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.3076923077,0.7912087912
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8181818182
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8181818182
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8181818182
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.3076923077,0.7826086957
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8181818182
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8181818182
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8181818182
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8181818182
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.8131868132
